t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.578000000000000114e+01,4.000000000000000000e+00,5.481101043754070812e-01,2.892025447679733130e+00,-3.842532218768328622e-01,-1.697857830865381890e-01,1.261471563745267532e-01,-4.992777370717416292e-03,1.169483333600666169e-01,-4.728839588823069429e-02,-4.220843111715390575e-03,-9.732229408725654243e-03,-2.742022014945083574e-03,8.378401451847102433e-04,-6.664190524114612657e-01
4.580000000000000426e+01,4.000000000000000000e+00,5.504482232194372049e-01,2.891077734434637669e+00,-3.859350310704780518e-01,-1.698870688754635372e-01,1.261414684558824495e-01,-5.135565240444342310e-03,1.168633683910879628e-01,-4.748287262261256803e-02,-4.275638504232803089e-03,-9.715429831351141826e-03,-2.737437451423117320e-03,8.420995728926557481e-04,-6.668243563186784240e-01
4.582000000000000028e+01,4.000000000000000000e+00,5.527846318112811241e-01,2.890126135020413489e+00,-3.876177960715743720e-01,-1.699911960509584707e-01,1.261349963126262852e-01,-5.276906331145473500e-03,1.167773084630748665e-01,-4.767701252077473362e-02,-4.330337420570471753e-03,-9.698546147696055636e-03,-2.732374510770953398e-03,8.462507183483552976e-04,-6.672410449643026986e-01
4.584000000000000341e+01,4.000000000000000000e+00,5.551193082716916471e-01,2.889170656190461095e+00,-3.893015348964873890e-01,-1.700981350957145033e-01,1.261277417533825662e-01,-5.416742473346840454e-03,1.166901556011791519e-01,-4.787081392226964077e-02,-4.384930300328443963e-03,-9.681580526632716996e-03,-2.726833922985716190e-03,8.502932621416102975e-04,-6.676690014504640391e-01
4.585999999999999943e+01,4.000000000000000000e+00,5.574522307638347662e-01,2.888211304730956552e+00,-3.909862652618052992e-01,-1.702078553292467877e-01,1.261197067811616057e-01,-5.555015519575067819e-03,1.166019120216084948e-01,-4.806427521008976855e-02,-4.439407598650628450e-03,-9.664535143222579769e-03,-2.720816512456031636e-03,8.542269047707477195e-04,-6.681081042412555515e-01
4.588000000000000256e+01,4.000000000000000000e+00,5.597833774971087140e-01,2.887248087459981072e+00,-3.926720045743188336e-01,-1.703203249083748150e-01,1.261108935928058339e-01,-5.691667348422303242e-03,1.165125801312964920e-01,-4.825739481078738374e-02,-4.493759788112615915e-03,-9.647412178318028053e-03,-2.714323197962017261e-03,8.580513666426173910e-04,-6.685582271627017459e-01
4.590000000000000568e+01,4.000000000000000000e+00,5.621127267309548037e-01,2.886281011226647042e+00,-3.943587699210295283e-01,-1.704355108277876840e-01,1.261013045783925535e-01,-5.826639869019927843e-03,1.164221625275351085e-01,-4.845017119458639582e-02,-4.547977360609515261e-03,-9.630213818164246736e-03,-2.707354992675277839e-03,8.617663880725928618e-04,-6.690192394030104461e-01
4.592000000000000171e+01,4.000000000000000000e+00,5.644402567786600544e-01,2.885310082910226726e+00,-3.960465780591866936e-01,-1.705533789207020201e-01,1.260909423205928137e-01,-5.959875025940556889e-03,1.163306619975696954e-01,-4.864260287548619749e-02,-4.602050829243786376e-03,-9.612942254001005313e-03,-2.699913004158924039e-03,8.653717292845728142e-04,-6.694910055131392257e-01
4.594000000000000483e+01,4.000000000000000000e+00,5.667659460111527103e-01,2.884335309419271631e+00,-3.977354454063609657e-01,-1.706738938596261412e-01,1.260798095939858199e-01,-6.091314804546687535e-03,1.162380815181553451e-01,-4.883468841135767818e-02,-4.655970730213065956e-03,-9.595599681664523234e-03,-2.691998434367553778e-03,8.688671704109800871e-04,-6.699733854077338790e-01
4.596000000000000085e+01,4.000000000000000000e+00,5.690897728607865469e-01,2.883356697690736770e+00,-3.994253880305445037e-01,-1.707970191572299734e-01,1.260679093643310433e-01,-6.220901236805082522e-03,1.161444242550769973e-01,-4.902642640403101493e-02,-4.709727624697987274e-03,-9.578188301189290155e-03,-2.683612579647255258e-03,8.722525114927595071e-04,-6.704662343664379298e-01
4.598000000000000398e+01,4.000000000000000000e+00,5.714117158251179607e-01,2.882374254689101800e+00,-4.011164216402953731e-01,-1.709227171673419199e-01,1.260552447877950621e-01,-6.348576407585623978e-03,1.160496935626300491e-01,-4.921781549937579575e-02,-4.763312100750034632e-03,-9.560710316409877507e-03,-2.674756830735616937e-03,8.755275724793819010e-04,-6.709694030356594396e-01
4.600000000000000000e+01,4.000000000000000000e+00,5.737317534706692923e-01,2.881387987405487294e+00,-4.028085615749132931e-01,-1.710509490860724346e-01,1.260418192101361023e-01,-6.474282461462354046e-03,1.159538929830646464e-01,-4.940885438737296215e-02,-4.816714775179355319e-03,-9.543167934562789972e-03,-2.665432672761717994e-03,8.786921932288407336e-04,-6.714827374307977825e-01
4.602000000000000313e+01,4.000000000000000000e+00,5.760498644366823795e-01,2.880397902856771886e+00,-4.045018227946597378e-01,-1.711816749530817028e-01,1.260276361658441702e-01,-6.597961610035243951e-03,1.158570262459912292e-01,-4.959954180217888281e-02,-4.869926295442586310e-03,-9.525563365888285727e-03,-2.655641685246133959e-03,8.817462335076549276e-04,-6.720060789389983302e-01
4.604000000000000625e+01,4.000000000000000000e+00,5.783660274388598976e-01,2.879404008084708533e+00,-4.061962198710173388e-01,-1.713148536529966459e-01,1.260126993772384407e-01,-6.719556139790420352e-03,1.157590972677490782e-01,-4.978987652218146154e-02,-4.922937341530694844e-03,-9.507898823232212304e-03,-2.645385542100930649e-03,8.846895729908653937e-04,-6.725392643224626932e-01
4.606000000000000227e+01,4.000000000000000000e+00,5.806802212730927115e-01,2.878406310155042114e+00,-4.078917669769958620e-01,-1.714504429169927124e-01,1.259970127535207096e-01,-6.839008420516394862e-03,1.156601101507364893e-01,-4.997985737004823764e-02,-4.975738627856806859e-03,-9.490176521647823368e-03,-2.634666011629668066e-03,8.875221112620380664e-04,-6.730821257223728038e-01
